58,12,126,12,126,36,58,36
130,16,158,16,158,36,130,36
162,15,225,16,225,34,162,34
17,42,86,42,86,77,17,77
90,41,265,41,265,78,90,78
16,89,36,89,36,113,16,113
37,88,81,88,81,113,37,113
86,88,266,88,266,113,86,113
64,120,121,120,121,137,64,137
214,120,237,120,237,138,214,138
28,121,49,121,49,138,28,138
174,121,202,121,202,138,174,138
200,121,217,121,217,138,200,138
120,122,154,122,154,138,120,138
152,122,174,122,174,137,152,137
234,122,270,122,270,137,234,137
12,124,29,124,29,137,12,137
48,124,64,124,64,137,48,137
10,145,34,145,34,162,10,162
196,145,217,145,217,160,196,160
33,146,62,146,62,161,33,161
62,146,84,146,84,160,62,160
82,146,100,146,100,160,82,160
98,146,114,146,114,160,98,160
217,146,238,146,238,160,217,160
237,146,254,146,254,160,237,160
253,146,270,146,270,161,253,161
