443,0,489,0,489,10,443,10
287,7,340,7,340,43,287,43
351,10,403,10,403,45,351,45
417,14,496,18,495,53,415,49
210,87,250,87,250,120,210,120
260,90,281,90,281,120,260,120
465,99,562,103,560,139,464,136
210,128,251,128,251,160,210,160
259,131,296,131,296,162,259,162
465,142,559,142,559,178,465,178
210,168,251,168,251,201,210,201
260,171,296,171,296,203,260,203
385,178,453,178,453,209,385,209
481,180,555,182,554,214,480,212
609,189,651,189,651,220,609,220
214,209,248,209,248,242,214,242
262,212,281,212,281,242,262,242
479,221,495,221,495,246,479,246
506,220,554,220,554,253,506,253
521,259,582,259,582,292,521,292
385,293,464,293,464,326,385,326
476,295,525,295,525,328,476,328
534,298,582,298,582,329,534,329
132,328,170,328,170,359,132,359
182,329,201,329,201,359,182,359
309,331,403,331,403,364,309,364
401,332,479,332,479,364,401,364
490,334,537,334,537,365,490,365
548,334,609,334,609,367,548,367
517,371,578,371,578,403,517,403
384,407,460,407,460,439,384,439
473,409,520,409,520,439,473,439
529,409,576,409,576,439,529,439
137,445,184,445,184,475,137,475
184,446,204,446,204,475,184,475
400,445,432,445,432,475,400,475
440,445,531,445,531,475,440,475
571,445,606,445,606,475,571,475
543,448,559,448,559,473,543,473
512,481,575,481,575,510,512,510
396,517,517,514,517,545,397,548
526,515,575,515,575,546,526,546
398,551,429,551,429,581,398,581
439,551,528,551,528,582,439,582
542,554,557,554,557,579,542,579
570,553,604,553,604,582,570,582
140,556,187,556,187,585,140,585
187,557,207,557,207,584,187,584
510,587,573,587,573,617,510,617
381,621,456,621,456,651,381,651
468,621,515,621,515,651,468,651
525,621,573,621,573,653,525,653
525,659,603,659,603,689,525,689
381,692,456,692,456,721,381,721
467,693,529,693,529,723,467,723
146,695,181,695,181,723,146,723
192,696,207,696,207,721,192,721
540,696,557,696,557,721,540,721
568,695,601,695,601,723,568,723
631,701,640,701,640,720,631,720
244,764,307,761,308,792,245,794
321,764,351,764,351,790,321,790
364,764,451,764,451,792,364,792
476,764,539,764,539,792,476,792
505,798,635,794,636,824,506,828
128,798,192,798,192,826,128,826
201,798,321,798,321,826,201,826
331,798,365,798,365,826,331,826
375,798,423,798,423,826,375,826
432,798,479,798,479,826,432,826
296,832,428,832,428,859,296,859
426,831,471,831,471,859,426,859
346,865,418,865,418,889,346,889
271,887,307,887,307,925,271,925
309,887,498,887,498,928,309,928
