162,21,180,21,180,30,162,30
180,21,205,21,205,29,180,29
205,21,224,21,224,29,205,29
224,21,242,21,242,29,224,29
136,22,146,22,146,30,136,30
146,22,162,22,162,30,146,30
97,24,118,24,118,32,97,32
118,24,136,24,136,32,118,32
181,30,216,30,216,37,181,37
120,32,146,32,146,40,120,40
153,32,172,32,172,37,153,37
204,40,229,40,229,53,204,53
136,41,168,41,168,54,136,54
169,41,204,41,204,53,169,53
109,44,134,44,134,56,109,56
162,56,221,56,221,68,162,68
111,60,138,58,139,69,112,71
138,58,162,58,162,69,138,69
193,73,217,73,217,82,193,82
132,74,166,74,166,84,132,84
168,74,193,74,193,84,168,84
97,76,115,78,114,85,96,83
162,93,204,93,204,101,162,101
192,105,226,105,226,112,192,112
162,106,177,106,177,112,162,112
98,108,112,108,112,114,98,114
148,117,165,117,165,125,148,125
166,117,178,117,178,125,166,125
178,117,196,117,196,125,178,125
197,117,209,117,209,125,197,125
209,117,224,117,224,124,209,124
98,118,113,118,113,126,98,126
113,118,148,118,148,126,113,126
192,133,209,133,209,141,192,141
210,133,222,133,222,141,210,141
222,133,240,133,240,141,222,141
110,136,150,133,151,142,110,145
149,134,168,134,168,142,149,142
169,134,192,134,192,141,169,141
157,142,169,142,169,150,157,150
169,142,182,142,182,150,169,150
68,152,109,149,109,158,69,161
30,152,66,152,66,158,30,158
