108,34,142,34,142,52,108,52
144,36,160,36,160,50,144,50
162,36,197,36,197,50,162,50
166,53,202,53,202,73,166,73
74,54,118,54,118,73,74,73
204,54,232,54,232,72,204,72
120,56,146,56,146,73,120,73
148,57,165,57,165,73,148,73
121,84,224,80,226,116,123,120
32,86,120,86,120,118,32,118
77,129,222,129,222,148,77,148
34,130,74,130,74,148,34,148
162,157,201,157,201,176,162,176
201,157,232,157,232,176,201,176
102,158,129,160,127,176,101,174
77,160,102,160,102,177,77,177
130,160,161,160,161,174,130,174
24,161,41,161,41,178,24,178
42,161,77,161,77,177,42,177
